Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
439,100,BNB: Buy BINANCE -> Sell KRAKEN,308684.92,-1.3537,0.8768
439,150,WAIT (Holding Capital),307228.49,-0.0100,0.8768
439,200,BTC: Buy BINANCE -> Sell COINBASE,308927.06,4.6461,0.8768
440,50,BNB: Buy KRAKEN -> Sell BINANCE,306679.99,-0.3540,0.8766
440,100,BTC: Buy COINBASE -> Sell BINANCE,308409.04,-0.1215,0.8766
440,150,BNB: Buy KRAKEN -> Sell COINBASE,306797.76,1.2443,0.8766
440,200,BTC: Buy BINANCE -> Sell KRAKEN,308446.29,10.4031,0.8766
441,50,BNB: Buy BINANCE -> Sell KRAKEN,307584.05,0.2874,0.8763
441,100,BNB: Buy COINBASE -> Sell KRAKEN,309535.84,-0.3183,0.8763
441,150,BNB: Buy COINBASE -> Sell KRAKEN,307250.96,0.2496,0.8763
441,200,ETH: Buy KRAKEN -> Sell COINBASE,309349.90,-1.4585,0.8763
442,50,BTC: Buy BINANCE -> Sell COINBASE,307451.64,-0.2502,0.8761
442,100,BTC: Buy BINANCE -> Sell COINBASE,309346.33,0.0393,0.8761
442,150,BTC: Buy COINBASE -> Sell KRAKEN,307434.26,-0.9021,0.8761
442,200,ETH: Buy KRAKEN -> Sell BINANCE,309914.96,-0.5430,0.8761
443,50,BNB: Buy BINANCE -> Sell KRAKEN,306945.06,-2.0000,0.8758
443,100,BTC: Buy BINANCE -> Sell COINBASE,308960.90,-2.0000,0.8758
443,150,BTC: Buy BINANCE -> Sell KRAKEN,307356.09,-1.1516,0.8758
443,200,BTC: Buy COINBASE -> Sell KRAKEN,309517.18,4.7842,0.8758
444,50,BNB: Buy KRAKEN -> Sell COINBASE,307860.77,-0.5153,0.8755
444,100,BTC: Buy BINANCE -> Sell KRAKEN,309014.80,-0.9105,0.8755
444,150,BNB: Buy COINBASE -> Sell BINANCE,307099.16,0.8821,0.8755
444,200,BNB: Buy COINBASE -> Sell BINANCE,309238.99,0.8879,0.8755
445,50,BNB: Buy COINBASE -> Sell KRAKEN,307603.78,-1.3417,0.8753
445,100,WAIT (Holding Capital),308657.61,-0.0100,0.8753
445,150,BTC: Buy BINANCE -> Sell COINBASE,307106.19,0.1248,0.8753
445,200,WAIT (Holding Capital),309187.12,-0.0100,0.8753
446,50,WAIT (Holding Capital),307546.27,-0.0100,0.8750
446,100,BNB: Buy KRAKEN -> Sell BINANCE,309066.19,1.3845,0.8750
446,150,ETH: Buy COINBASE -> Sell BINANCE,306748.94,-1.7920,0.8750
446,200,WAIT (Holding Capital),308525.92,-0.0100,0.8750
447,50,BNB: Buy COINBASE -> Sell KRAKEN,307318.78,-0.7079,0.8747
447,100,WAIT (Holding Capital),309226.66,-0.0100,0.8747
447,150,BNB: Buy COINBASE -> Sell KRAKEN,307706.10,-0.4407,0.8747
447,200,ETH: Buy COINBASE -> Sell KRAKEN,309370.23,0.9963,0.8747
448,50,BTC: Buy COINBASE -> Sell BINANCE,307608.74,0.5469,0.8745
448,100,ETH: Buy BINANCE -> Sell KRAKEN,309099.30,-0.9551,0.8745
448,150,BTC: Buy KRAKEN -> Sell COINBASE,306921.49,-0.5423,0.8745
448,200,BNB: Buy BINANCE -> Sell KRAKEN,307864.50,-0.2484,0.8745
449,50,BNB: Buy COINBASE -> Sell BINANCE,307207.20,0.3448,0.8742
449,100,ETH: Buy KRAKEN -> Sell BINANCE,308488.83,4.5602,0.8742
449,150,BNB: Buy BINANCE -> Sell KRAKEN,307244.88,-1.1022,0.8742
449,200,BNB: Buy KRAKEN -> Sell COINBASE,308933.08,-0.6976,0.8742
450,50,BTC: Buy BINANCE -> Sell COINBASE,308006.28,-2.0000,0.8740
450,100,ETH: Buy COINBASE -> Sell BINANCE,309103.27,10.8137,0.8740
450,150,ETH: Buy BINANCE -> Sell COINBASE,307916.64,-1.2171,0.8740
450,200,ETH: Buy COINBASE -> Sell BINANCE,308910.45,1.6027,0.8740
451,50,BNB: Buy BINANCE -> Sell COINBASE,307338.59,-0.5595,0.8737
451,100,ETH: Buy BINANCE -> Sell KRAKEN,309291.98,0.6394,0.8737
451,150,ETH: Buy KRAKEN -> Sell COINBASE,306990.79,-0.5540,0.8737
451,200,BNB: Buy COINBASE -> Sell KRAKEN,308726.04,0.5522,0.8737
452,50,BTC: Buy KRAKEN -> Sell BINANCE,307714.20,-0.4872,0.8734
452,100,ETH: Buy KRAKEN -> Sell BINANCE,309678.62,4.0332,0.8734
452,150,ETH: Buy BINANCE -> Sell COINBASE,308392.33,1.8429,0.8734
452,200,WAIT (Holding Capital),309773.67,-0.0100,0.8734
453,50,BNB: Buy KRAKEN -> Sell COINBASE,306982.01,-2.0000,0.8732
453,100,ETH: Buy COINBASE -> Sell KRAKEN,308403.02,6.2347,0.8732
453,150,BTC: Buy COINBASE -> Sell KRAKEN,307044.85,1.2544,0.8732
453,200,ETH: Buy BINANCE -> Sell KRAKEN,308464.37,-0.9291,0.8732
454,50,BTC: Buy KRAKEN -> Sell BINANCE,307655.78,-2.0000,0.8729
454,100,BTC: Buy KRAKEN -> Sell COINBASE,309365.80,-2.0000,0.8729
454,150,WAIT (Holding Capital),307296.17,-0.0100,0.8729
454,200,BTC: Buy COINBASE -> Sell KRAKEN,308618.21,5.4710,0.8729
455,50,ETH: Buy COINBASE -> Sell BINANCE,307374.37,1.0592,0.8727
455,100,BNB: Buy COINBASE -> Sell BINANCE,309649.85,0.2466,0.8727
455,150,WAIT (Holding Capital),307780.43,-0.0100,0.8727
455,200,BTC: Buy KRAKEN -> Sell BINANCE,308866.82,-2.0000,0.8727
456,50,WAIT (Holding Capital),307798.46,-0.0100,0.8724
456,100,ETH: Buy BINANCE -> Sell KRAKEN,309545.93,-1.3253,0.8724
456,150,ETH: Buy COINBASE -> Sell KRAKEN,307582.16,-0.7350,0.8724
456,200,ETH: Buy COINBASE -> Sell KRAKEN,308929.77,-2.0000,0.8724
457,50,BNB: Buy KRAKEN -> Sell COINBASE,308097.43,-0.1726,0.8721
457,100,BTC: Buy KRAKEN -> Sell COINBASE,310049.37,0.0757,0.8721
457,150,BNB: Buy COINBASE -> Sell BINANCE,308388.18,0.2708,0.8721
457,200,BNB: Buy BINANCE -> Sell COINBASE,309865.32,-1.4244,0.8721
458,50,BTC: Buy BINANCE -> Sell COINBASE,307846.84,-0.2448,0.8719
458,100,ETH: Buy COINBASE -> Sell KRAKEN,309890.58,4.8293,0.8719
458,150,WAIT (Holding Capital),307968.95,-0.0100,0.8719
458,200,BTC: Buy KRAKEN -> Sell BINANCE,309618.78,0.7348,0.8719
459,50,BTC: Buy BINANCE -> Sell COINBASE,307350.83,-0.5092,0.8716
459,100,BNB: Buy COINBASE -> Sell KRAKEN,308778.27,-0.4246,0.8716
459,150,WAIT (Holding Capital),306402.63,-0.0100,0.8716
459,200,BTC: Buy BINANCE -> Sell COINBASE,308053.17,-2.0000,0.8716
460,50,ETH: Buy BINANCE -> Sell KRAKEN,307916.67,-1.2509,0.8713
460,100,BTC: Buy BINANCE -> Sell KRAKEN,309745.61,-0.1964,0.8713
460,150,BTC: Buy COINBASE -> Sell BINANCE,308650.33,-0.9925,0.8713
460,200,ETH: Buy KRAKEN -> Sell COINBASE,309284.08,-0.2196,0.8713
461,50,WAIT (Holding Capital),308286.11,-0.0100,0.8711
461,100,BNB: Buy COINBASE -> Sell BINANCE,310335.96,-0.5801,0.8711
461,150,BTC: Buy KRAKEN -> Sell BINANCE,308243.64,0.7617,0.8711
461,200,BNB: Buy KRAKEN -> Sell BINANCE,309272.70,0.5459,0.8711
462,50,BTC: Buy COINBASE -> Sell BINANCE,307652.97,-2.0000,0.8708
462,100,WAIT (Holding Capital),308971.65,-0.0100,0.8708
462,150,ETH: Buy COINBASE -> Sell KRAKEN,307930.96,0.0766,0.8708
462,200,BTC: Buy COINBASE -> Sell KRAKEN,309562.52,4.3540,0.8708
463,50,BNB: Buy COINBASE -> Sell KRAKEN,307450.84,-0.3376,0.8706
463,100,BTC: Buy BINANCE -> Sell KRAKEN,309723.17,-2.0000,0.8706
463,150,BNB: Buy COINBASE -> Sell BINANCE,308164.09,0.4902,0.8706
463,200,BNB: Buy KRAKEN -> Sell BINANCE,310473.67,0.2561,0.8706
464,50,ETH: Buy COINBASE -> Sell KRAKEN,308148.55,-1.0045,0.8703
464,100,BNB: Buy COINBASE -> Sell BINANCE,309372.48,0.1103,0.8703
464,150,BTC: Buy COINBASE -> Sell BINANCE,307959.42,-0.4365,0.8703
464,200,BTC: Buy BINANCE -> Sell COINBASE,309564.59,-2.0000,0.8703
465,50,BTC: Buy KRAKEN -> Sell BINANCE,307612.85,-0.1420,0.8700
465,100,BNB: Buy BINANCE -> Sell COINBASE,309472.20,-0.5184,0.8700
465,150,BNB: Buy BINANCE -> Sell COINBASE,307703.96,-1.2212,0.8700
465,200,ETH: Buy KRAKEN -> Sell BINANCE,309273.73,-0.1935,0.8700
466,50,BNB: Buy COINBASE -> Sell BINANCE,307449.37,0.2364,0.8698
466,100,ETH: Buy COINBASE -> Sell KRAKEN,309566.01,5.9956,0.8698
466,150,BTC: Buy KRAKEN -> Sell COINBASE,307782.55,0.1071,0.8698
466,200,ETH: Buy BINANCE -> Sell KRAKEN,310536.75,-2.0000,0.8698
467,50,ETH: Buy KRAKEN -> Sell COINBASE,306950.15,-0.7523,0.8695
467,100,ETH: Buy BINANCE -> Sell COINBASE,308826.67,-0.2630,0.8695
467,150,BNB: Buy BINANCE -> Sell COINBASE,307089.94,0.5211,0.8695
467,200,BNB: Buy BINANCE -> Sell COINBASE,308329.20,0.8519,0.8695
468,50,ETH: Buy COINBASE -> Sell BINANCE,307584.19,-0.0527,0.8693
468,100,BNB: Buy COINBASE -> Sell BINANCE,309550.45,0.0156,0.8693
468,150,BTC: Buy BINANCE -> Sell KRAKEN,307719.17,0.7977,0.8693
468,200,BNB: Buy COINBASE -> Sell BINANCE,309788.54,-2.0000,0.8693
469,50,WAIT (Holding Capital),308039.58,-0.0100,0.8690
469,100,ETH: Buy COINBASE -> Sell KRAKEN,309509.18,4.6101,0.8690
469,150,BNB: Buy COINBASE -> Sell KRAKEN,308460.67,0.4612,0.8690
469,200,BNB: Buy KRAKEN -> Sell BINANCE,309439.43,-0.8933,0.8690
470,50,BNB: Buy KRAKEN -> Sell BINANCE,307386.16,0.0641,0.8687
470,100,BNB: Buy COINBASE -> Sell KRAKEN,309665.68,0.3032,0.8687
470,150,BTC: Buy BINANCE -> Sell KRAKEN,307492.80,0.1751,0.8687
470,200,ETH: Buy BINANCE -> Sell KRAKEN,309483.86,0.9949,0.8687
471,50,BNB: Buy COINBASE -> Sell BINANCE,306755.91,-0.8338,0.8685
471,100,ETH: Buy KRAKEN -> Sell BINANCE,307744.96,5.3567,0.8685
471,150,BNB: Buy COINBASE -> Sell KRAKEN,306707.46,-0.9081,0.8685
471,200,BTC: Buy KRAKEN -> Sell COINBASE,307950.20,-1.8027,0.8685
472,50,BTC: Buy BINANCE -> Sell COINBASE,306955.14,0.6611,0.8682
472,100,BNB: Buy BINANCE -> Sell KRAKEN,308809.74,0.9848,0.8682
472,150,WAIT (Holding Capital),306847.19,-0.0100,0.8682
472,200,WAIT (Holding Capital),308190.87,-0.0100,0.8682
473,50,ETH: Buy BINANCE -> Sell KRAKEN,307738.48,0.4600,0.8679
473,100,BTC: Buy BINANCE -> Sell COINBASE,308790.59,0.7110,0.8679
473,150,ETH: Buy COINBASE -> Sell BINANCE,308153.07,-0.0705,0.8679
473,200,ETH: Buy BINANCE -> Sell KRAKEN,310345.91,-0.7231,0.8679
474,50,BTC: Buy KRAKEN -> Sell COINBASE,307207.69,-0.4988,0.8677
474,100,ETH: Buy KRAKEN -> Sell COINBASE,309065.70,-0.0792,0.8677
474,150,BTC: Buy KRAKEN -> Sell BINANCE,307366.36,-2.0000,0.8677
474,200,BNB: Buy KRAKEN -> Sell COINBASE,309370.50,-2.0000,0.8677
475,50,ETH: Buy KRAKEN -> Sell COINBASE,307985.48,-0.4897,0.8674
475,100,ETH: Buy COINBASE -> Sell KRAKEN,309855.85,5.5931,0.8674
475,150,BNB: Buy COINBASE -> Sell KRAKEN,308126.14,-1.0008,0.8674
475,200,BTC: Buy BINANCE -> Sell KRAKEN,310135.09,9.9165,0.8674
476,50,BNB: Buy COINBASE -> Sell KRAKEN,306818.29,0.2972,0.8672
476,100,BTC: Buy BINANCE -> Sell COINBASE,308460.65,0.8845,0.8672
476,150,BNB: Buy KRAKEN -> Sell BINANCE,306607.95,0.0512,0.8672
476,200,BTC: Buy KRAKEN -> Sell COINBASE,307613.07,-0.0287,0.8672
477,50,WAIT (Holding Capital),308130.00,-0.0100,0.8669
477,100,BTC: Buy COINBASE -> Sell BINANCE,310317.14,-1.4098,0.8669
477,150,BTC: Buy COINBASE -> Sell BINANCE,308509.35,-1.3658,0.8669
477,200,ETH: Buy KRAKEN -> Sell COINBASE,311424.03,2.0883,0.8669
478,50,ETH: Buy KRAKEN -> Sell COINBASE,307485.29,0.4768,0.8666
478,100,WAIT (Holding Capital),308951.32,-0.0100,0.8666
478,150,BTC: Buy KRAKEN -> Sell BINANCE,306931.76,-0.8131,0.8666
478,200,BNB: Buy BINANCE -> Sell KRAKEN,309311.98,-1.4563,0.8666
479,50,BTC: Buy COINBASE -> Sell KRAKEN,307439.92,-2.0000,0.8664
479,100,BNB: Buy COINBASE -> Sell BINANCE,308934.81,-1.0866,0.8664
479,150,BNB: Buy BINANCE -> Sell COINBASE,307486.99,-2.0000,0.8664
479,200,WAIT (Holding Capital),309261.58,-0.0100,0.8664
480,50,ETH: Buy COINBASE -> Sell KRAKEN,307784.81,-0.8696,0.8661
480,100,ETH: Buy COINBASE -> Sell BINANCE,310115.87,8.4470,0.8661
480,150,BNB: Buy COINBASE -> Sell BINANCE,308711.21,-0.1121,0.8661
480,200,BNB: Buy BINANCE -> Sell COINBASE,310404.07,-1.1664,0.8661
481,50,BTC: Buy BINANCE -> Sell COINBASE,307322.02,-0.6015,0.8659
481,100,ETH: Buy KRAKEN -> Sell COINBASE,309226.40,-0.9978,0.8659
481,150,BTC: Buy COINBASE -> Sell BINANCE,307206.68,0.7059,0.8659
481,200,BNB: Buy BINANCE -> Sell COINBASE,309749.49,1.7085,0.8659
482,50,BTC: Buy KRAKEN -> Sell COINBASE,307707.78,0.1596,0.8656
482,100,BNB: Buy BINANCE -> Sell COINBASE,310082.15,-0.5470,0.8656
482,150,BTC: Buy COINBASE -> Sell BINANCE,308437.71,-0.8096,0.8656
482,200,ETH: Buy COINBASE -> Sell BINANCE,310671.25,-0.1967,0.8656
483,50,WAIT (Holding Capital),307601.68,-0.0100,0.8653
483,100,WAIT (Holding Capital),309197.13,-0.0100,0.8653
483,150,WAIT (Holding Capital),307524.66,-0.0100,0.8653
483,200,BTC: Buy KRAKEN -> Sell BINANCE,309730.02,1.7335,0.8653
484,50,BNB: Buy KRAKEN -> Sell COINBASE,307275.84,-1.6849,0.8651
484,100,BNB: Buy KRAKEN -> Sell BINANCE,309343.82,-2.2519,0.8651
484,150,BNB: Buy BINANCE -> Sell KRAKEN,306982.07,2.1314,0.8651
484,200,WAIT (Holding Capital),308526.13,-0.0100,0.8651
485,50,BNB: Buy KRAKEN -> Sell COINBASE,307184.11,-0.5754,0.8648
485,100,WAIT (Holding Capital),308810.28,-0.0100,0.8648
485,150,BNB: Buy BINANCE -> Sell KRAKEN,306189.65,-0.8565,0.8648
485,200,WAIT (Holding Capital),307873.47,-0.0100,0.8648
486,50,ETH: Buy BINANCE -> Sell KRAKEN,307000.29,-2.0000,0.8646
486,100,BNB: Buy COINBASE -> Sell KRAKEN,308892.71,-0.2018,0.8646
486,150,BNB: Buy COINBASE -> Sell BINANCE,306546.76,0.6243,0.8646
486,200,WAIT (Holding Capital),307897.67,-0.0100,0.8646
487,50,BTC: Buy COINBASE -> Sell KRAKEN,307692.44,-2.0000,0.8643
487,100,BTC: Buy COINBASE -> Sell KRAKEN,309236.90,0.4927,0.8643
487,150,WAIT (Holding Capital),306572.15,-0.0100,0.8643
487,200,BNB: Buy COINBASE -> Sell KRAKEN,308583.90,0.8487,0.8643
488,50,BTC: Buy KRAKEN -> Sell COINBASE,307649.30,0.3440,0.8641
488,100,ETH: Buy COINBASE -> Sell KRAKEN,309949.49,5.1896,0.8641
488,150,BTC: Buy KRAKEN -> Sell COINBASE,308371.64,-0.3027,0.8641
488,200,BNB: Buy COINBASE -> Sell BINANCE,310164.59,-2.0000,0.8641
489,50,BTC: Buy COINBASE -> Sell BINANCE,307952.92,-0.2123,0.8638
489,100,BNB: Buy BINANCE -> Sell COINBASE,309951.29,-0.3620,0.8638
489,150,BNB: Buy COINBASE -> Sell KRAKEN,308985.07,-1.0781,0.8638
489,200,ETH: Buy KRAKEN -> Sell BINANCE,311059.65,0.4030,0.8638
490,50,BNB: Buy KRAKEN -> Sell BINANCE,307587.31,-0.1236,0.8635
490,100,WAIT (Holding Capital),309289.24,-0.0100,0.8635
490,150,ETH: Buy KRAKEN -> Sell COINBASE,307818.73,0.1734,0.8635
490,200,BNB: Buy KRAKEN -> Sell COINBASE,309545.47,-1.2950,0.8635
491,50,BNB: Buy KRAKEN -> Sell BINANCE,306821.44,-2.0000,0.8633
491,100,BTC: Buy KRAKEN -> Sell COINBASE,308188.68,-0.2250,0.8633
491,150,WAIT (Holding Capital),306625.28,-0.0100,0.8633
491,200,ETH: Buy COINBASE -> Sell BINANCE,308533.27,0.0573,0.8633
492,50,BTC: Buy KRAKEN -> Sell BINANCE,307448.86,0.1233,0.8630
492,100,BTC: Buy KRAKEN -> Sell BINANCE,309207.53,0.1448,0.8630
492,150,WAIT (Holding Capital),308030.42,-0.0100,0.8630
492,200,BTC: Buy KRAKEN -> Sell COINBASE,310076.47,-2.0000,0.8630
493,50,BTC: Buy COINBASE -> Sell BINANCE,307500.13,-2.0000,0.8628
493,100,BTC: Buy KRAKEN -> Sell BINANCE,309531.48,-0.3975,0.8628
493,150,ETH: Buy BINANCE -> Sell COINBASE,307264.22,-1.2758,0.8628
493,200,WAIT (Holding Capital),308558.42,-0.0100,0.8628
494,50,BTC: Buy BINANCE -> Sell KRAKEN,307564.30,-0.7668,0.8625
494,100,BNB: Buy COINBASE -> Sell BINANCE,309258.09,-0.4337,0.8625
494,150,ETH: Buy BINANCE -> Sell KRAKEN,307978.88,0.0818,0.8625
494,200,ETH: Buy KRAKEN -> Sell BINANCE,308704.03,-0.3367,0.8625
495,50,ETH: Buy KRAKEN -> Sell BINANCE,307585.59,0.2027,0.8622
495,100,BNB: Buy KRAKEN -> Sell BINANCE,309448.09,0.4872,0.8622
495,150,WAIT (Holding Capital),307574.21,-0.0100,0.8622
495,200,BTC: Buy BINANCE -> Sell COINBASE,309798.36,6.2253,0.8622
496,50,BTC: Buy COINBASE -> Sell BINANCE,307526.43,-0.9050,0.8620
496,100,WAIT (Holding Capital),308482.40,-0.0100,0.8620
496,150,BTC: Buy BINANCE -> Sell COINBASE,305989.94,-2.0000,0.8620
496,200,ETH: Buy BINANCE -> Sell KRAKEN,306694.07,1.8779,0.8620
497,50,WAIT (Holding Capital),307556.50,-0.0100,0.8617
497,100,ETH: Buy COINBASE -> Sell KRAKEN,309268.88,5.2520,0.8617
497,150,BNB: Buy COINBASE -> Sell BINANCE,307098.12,-0.3522,0.8617
497,200,ETH: Buy COINBASE -> Sell KRAKEN,308042.89,-0.1202,0.8617
498,50,BTC: Buy COINBASE -> Sell BINANCE,307375.85,0.1485,0.8615
498,100,ETH: Buy KRAKEN -> Sell BINANCE,308741.05,5.9097,0.8615
498,150,WAIT (Holding Capital),307412.95,-0.0100,0.8615
498,200,ETH: Buy KRAKEN -> Sell BINANCE,308696.24,0.4447,0.8615
499,50,BNB: Buy COINBASE -> Sell BINANCE,307852.35,0.0627,0.8612
499,100,BTC: Buy KRAKEN -> Sell COINBASE,309671.03,0.4065,0.8612
499,150,WAIT (Holding Capital),307548.82,-0.0100,0.8612
499,200,BTC: Buy COINBASE -> Sell KRAKEN,309118.15,4.9139,0.8612
500,50,BNB: Buy KRAKEN -> Sell COINBASE,307598.43,0.0473,0.8609
500,100,ETH: Buy BINANCE -> Sell COINBASE,309956.50,-0.7210,0.8609
500,150,BTC: Buy BINANCE -> Sell KRAKEN,307504.65,0.0304,0.8609
500,200,BTC: Buy BINANCE -> Sell COINBASE,308765.40,-2.0000,0.8609
501,50,BNB: Buy COINBASE -> Sell BINANCE,307707.69,0.0225,0.8607
501,100,BNB: Buy COINBASE -> Sell KRAKEN,309468.53,-0.8286,0.8607
501,150,BNB: Buy BINANCE -> Sell KRAKEN,308129.21,-0.8100,0.8607
501,200,BTC: Buy COINBASE -> Sell KRAKEN,309112.80,4.0163,0.8607
502,50,ETH: Buy KRAKEN -> Sell COINBASE,307662.65,0.2875,0.8604
502,100,BTC: Buy KRAKEN -> Sell COINBASE,309277.54,-0.9319,0.8604
502,150,WAIT (Holding Capital),307569.99,-0.0100,0.8604
502,200,ETH: Buy BINANCE -> Sell KRAKEN,308896.00,0.8224,0.8604
503,50,ETH: Buy COINBASE -> Sell KRAKEN,307425.75,-0.2358,0.8602
503,100,ETH: Buy KRAKEN -> Sell BINANCE,309593.99,5.2219,0.8602
503,150,BTC: Buy COINBASE -> Sell KRAKEN,307418.18,-0.5882,0.8602
503,200,ETH: Buy COINBASE -> Sell KRAKEN,310275.66,0.3918,0.8602
504,50,WAIT (Holding Capital),307691.90,-0.0100,0.8599
504,100,BNB: Buy KRAKEN -> Sell COINBASE,309639.51,-0.9344,0.8599
504,150,BTC: Buy COINBASE -> Sell KRAKEN,307527.83,-2.0000,0.8599
504,200,ETH: Buy BINANCE -> Sell COINBASE,309770.15,0.6304,0.8599
505,50,BTC: Buy KRAKEN -> Sell COINBASE,307818.12,-0.3638,0.8597
505,100,WAIT (Holding Capital),309650.74,-0.0100,0.8597
505,150,ETH: Buy BINANCE -> Sell COINBASE,308127.96,-0.7143,0.8597
505,200,ETH: Buy KRAKEN -> Sell BINANCE,309553.66,-0.4781,0.8597
506,50,ETH: Buy BINANCE -> Sell COINBASE,307591.68,1.0135,0.8594
506,100,BTC: Buy COINBASE -> Sell BINANCE,309084.70,-0.2416,0.8594
506,150,WAIT (Holding Capital),306955.04,-0.0100,0.8594
506,200,BTC: Buy BINANCE -> Sell COINBASE,307956.53,-2.0000,0.8594
507,50,BNB: Buy BINANCE -> Sell COINBASE,307667.86,0.0739,0.8591
507,100,BNB: Buy KRAKEN -> Sell BINANCE,309346.54,-0.9258,0.8591
507,150,BTC: Buy KRAKEN -> Sell COINBASE,307473.33,-2.0000,0.8591
507,200,ETH: Buy KRAKEN -> Sell COINBASE,308998.13,0.1042,0.8591
508,50,WAIT (Holding Capital),307389.50,-0.0100,0.8589
508,100,BTC: Buy BINANCE -> Sell KRAKEN,309645.24,-0.7513,0.8589
508,150,BNB: Buy COINBASE -> Sell KRAKEN,307933.25,-0.9433,0.8589
508,200,WAIT (Holding Capital),309755.21,-0.0100,0.8589
509,50,WAIT (Holding Capital),307578.89,-0.0100,0.8586
509,100,BNB: Buy BINANCE -> Sell COINBASE,309102.86,-0.6328,0.8586
509,150,BTC: Buy KRAKEN -> Sell COINBASE,307168.39,0.2933,0.8586
509,200,WAIT (Holding Capital),309259.55,-0.0100,0.8586
510,50,BNB: Buy KRAKEN -> Sell BINANCE,307832.41,-0.6023,0.8584
510,100,ETH: Buy KRAKEN -> Sell BINANCE,309595.62,5.3822,0.8584
510,150,ETH: Buy KRAKEN -> Sell COINBASE,308123.77,-2.0000,0.8584
510,200,WAIT (Holding Capital),309599.34,-0.0100,0.8584
511,50,ETH: Buy KRAKEN -> Sell COINBASE,307530.42,-2.0000,0.8581
511,100,BTC: Buy COINBASE -> Sell KRAKEN,309563.46,-0.5140,0.8581
511,150,BNB: Buy COINBASE -> Sell KRAKEN,307616.36,1.4154,0.8581
511,200,BNB: Buy KRAKEN -> Sell BINANCE,308819.16,-1.3371,0.8581
512,50,ETH: Buy BINANCE -> Sell KRAKEN,307589.31,-0.6364,0.8579
512,100,WAIT (Holding Capital),309520.43,-0.0100,0.8579
512,150,ETH: Buy KRAKEN -> Sell COINBASE,307777.22,-0.4395,0.8579
512,200,ETH: Buy COINBASE -> Sell BINANCE,309798.05,-0.1104,0.8579
513,50,BNB: Buy BINANCE -> Sell COINBASE,307412.11,-0.2185,0.8576
513,100,BNB: Buy KRAKEN -> Sell COINBASE,308541.24,-0.6273,0.8576
513,150,WAIT (Holding Capital),306562.09,-0.0100,0.8576
513,200,BTC: Buy BINANCE -> Sell COINBASE,308219.38,3.0370,0.8576
514,50,WAIT (Holding Capital),307598.28,-0.0100,0.8573
514,100,BNB: Buy KRAKEN -> Sell COINBASE,309579.66,0.2884,0.8573
514,150,ETH: Buy COINBASE -> Sell KRAKEN,307705.74,0.5641,0.8573
514,200,BTC: Buy COINBASE -> Sell KRAKEN,309288.22,7.8626,0.8573
515,50,BNB: Buy KRAKEN -> Sell COINBASE,307185.81,0.5012,0.8571
515,100,WAIT (Holding Capital),309171.59,-0.0100,0.8571
515,150,BNB: Buy COINBASE -> Sell KRAKEN,307440.57,-2.0553,0.8571
515,200,ETH: Buy KRAKEN -> Sell BINANCE,309554.27,-2.0000,0.8571
516,50,ETH: Buy BINANCE -> Sell COINBASE,307763.84,-0.4147,0.8568
516,100,BNB: Buy BINANCE -> Sell KRAKEN,308938.43,-0.2192,0.8568
516,150,BTC: Buy BINANCE -> Sell COINBASE,307501.06,-1.0735,0.8568
516,200,BNB: Buy COINBASE -> Sell KRAKEN,308846.24,-0.2266,0.8568
517,50,WAIT (Holding Capital),307371.35,-0.0100,0.8566
517,100,WAIT (Holding Capital),308989.44,-0.0100,0.8566
517,150,BNB: Buy BINANCE -> Sell COINBASE,307332.41,-1.8542,0.8566
517,200,ETH: Buy COINBASE -> Sell KRAKEN,308775.89,0.2103,0.8566
518,50,ETH: Buy KRAKEN -> Sell COINBASE,307427.58,-0.0217,0.8563
518,100,BTC: Buy KRAKEN -> Sell BINANCE,309395.22,-0.6083,0.8563
518,150,BTC: Buy KRAKEN -> Sell BINANCE,306942.96,-0.6215,0.8563
518,200,BNB: Buy COINBASE -> Sell KRAKEN,309006.15,-2.0000,0.8563
519,50,ETH: Buy BINANCE -> Sell KRAKEN,307412.58,-0.0363,0.8561
519,100,BNB: Buy COINBASE -> Sell BINANCE,309391.65,-0.8605,0.8561
519,150,BNB: Buy COINBASE -> Sell KRAKEN,307864.62,0.9792,0.8561
519,200,BTC: Buy KRAKEN -> Sell BINANCE,309055.70,-2.0000,0.8561
520,50,ETH: Buy BINANCE -> Sell KRAKEN,307201.00,-0.8209,0.8558
520,100,BNB: Buy KRAKEN -> Sell COINBASE,308705.86,-0.0360,0.8558
520,150,ETH: Buy BINANCE -> Sell COINBASE,306455.61,-2.0000,0.8558
520,200,WAIT (Holding Capital),308225.97,-0.0100,0.8558
521,50,BNB: Buy COINBASE -> Sell KRAKEN,307675.03,0.0824,0.8555
521,100,BTC: Buy KRAKEN -> Sell COINBASE,309361.13,-0.1349,0.8555
521,150,ETH: Buy KRAKEN -> Sell BINANCE,307347.34,-2.0000,0.8555
521,200,BTC: Buy KRAKEN -> Sell COINBASE,308639.52,-0.2917,0.8555
522,50,ETH: Buy BINANCE -> Sell KRAKEN,307581.39,-2.0000,0.8553
522,100,ETH: Buy COINBASE -> Sell KRAKEN,309600.83,5.6713,0.8553
522,150,ETH: Buy BINANCE -> Sell KRAKEN,308236.94,0.4202,0.8553
522,200,BTC: Buy BINANCE -> Sell KRAKEN,309674.83,9.7451,0.8553
523,50,WAIT (Holding Capital),307628.58,-0.0100,0.8550
