Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
35,150,BTC: Buy BINANCE -> Sell KRAKEN,307353.43,-1.1411,0.9899
35,200,ETH: Buy COINBASE -> Sell KRAKEN,309507.77,0.3415,0.9899
36,50,BTC: Buy BINANCE -> Sell COINBASE,307937.58,-0.1690,0.9896
36,100,BNB: Buy COINBASE -> Sell BINANCE,309685.62,-0.1451,0.9896
36,150,BNB: Buy KRAKEN -> Sell COINBASE,307699.15,-2.0000,0.9896
36,200,ETH: Buy COINBASE -> Sell KRAKEN,309303.91,-1.7203,0.9896
37,50,BNB: Buy COINBASE -> Sell BINANCE,307136.02,-0.0028,0.9893
37,100,BNB: Buy BINANCE -> Sell KRAKEN,308852.83,-1.2376,0.9893
37,150,BTC: Buy COINBASE -> Sell BINANCE,307455.49,-1.6220,0.9893
37,200,BTC: Buy KRAKEN -> Sell COINBASE,308944.54,0.4867,0.9893
38,50,BTC: Buy BINANCE -> Sell COINBASE,307024.35,-0.8448,0.9890
38,100,BTC: Buy BINANCE -> Sell COINBASE,309047.04,-1.2471,0.9890
38,150,BNB: Buy BINANCE -> Sell COINBASE,306808.58,1.5426,0.9890
38,200,BTC: Buy KRAKEN -> Sell COINBASE,307045.97,-0.4087,0.9890
39,50,WAIT (Holding Capital),306688.71,-0.0100,0.9887
39,100,BNB: Buy KRAKEN -> Sell BINANCE,308332.99,-1.3709,0.9887
39,150,ETH: Buy COINBASE -> Sell KRAKEN,305968.51,0.2854,0.9887
39,200,BNB: Buy COINBASE -> Sell BINANCE,307566.05,-1.2828,0.9887
40,50,BTC: Buy COINBASE -> Sell BINANCE,307296.52,-0.1732,0.9884
40,100,BTC: Buy COINBASE -> Sell KRAKEN,308807.76,-0.4149,0.9884
40,150,ETH: Buy KRAKEN -> Sell BINANCE,306945.19,-2.0000,0.9884
40,200,BNB: Buy COINBASE -> Sell BINANCE,308858.08,-2.0000,0.9884
41,50,ETH: Buy BINANCE -> Sell KRAKEN,307243.88,-1.2179,0.9881
41,100,ETH: Buy BINANCE -> Sell COINBASE,308967.58,0.3733,0.9881
41,150,BTC: Buy COINBASE -> Sell KRAKEN,307188.20,-0.7822,0.9881
41,200,BTC: Buy BINANCE -> Sell KRAKEN,308558.29,9.9747,0.9881
42,50,ETH: Buy COINBASE -> Sell KRAKEN,307162.63,-0.1511,0.9878
42,100,BNB: Buy KRAKEN -> Sell COINBASE,309049.22,0.7000,0.9878
42,150,ETH: Buy COINBASE -> Sell BINANCE,306718.37,-0.3434,0.9878
42,200,ETH: Buy BINANCE -> Sell COINBASE,308614.87,-0.0537,0.9878
43,50,ETH: Buy KRAKEN -> Sell BINANCE,307773.61,-0.4655,0.9875
43,100,BNB: Buy KRAKEN -> Sell BINANCE,310146.89,-0.1027,0.9875
43,150,ETH: Buy COINBASE -> Sell KRAKEN,308318.00,0.1148,0.9875
43,200,ETH: Buy KRAKEN -> Sell COINBASE,310486.29,-0.8907,0.9875
44,50,ETH: Buy COINBASE -> Sell BINANCE,307800.00,-0.3872,0.9872
44,100,BTC: Buy BINANCE -> Sell KRAKEN,309024.11,-0.0892,0.9872
44,150,BTC: Buy COINBASE -> Sell BINANCE,307301.21,-0.5165,0.9872
44,200,ETH: Buy COINBASE -> Sell KRAKEN,308450.44,0.4856,0.9872
45,50,WAIT (Holding Capital),307785.55,-0.0100,0.9869
45,100,BTC: Buy COINBASE -> Sell BINANCE,309943.46,-0.7998,0.9869
45,150,ETH: Buy KRAKEN -> Sell BINANCE,307378.14,-2.0000,0.9869
45,200,BTC: Buy BINANCE -> Sell COINBASE,308515.42,6.7947,0.9869
46,50,ETH: Buy BINANCE -> Sell KRAKEN,307961.25,-1.4343,0.9866
46,100,ETH: Buy BINANCE -> Sell KRAKEN,309185.78,-2.0000,0.9866
46,150,ETH: Buy BINANCE -> Sell KRAKEN,307557.01,-2.6468,0.9866
46,200,ETH: Buy BINANCE -> Sell COINBASE,309439.80,-1.3866,0.9866
47,50,BTC: Buy COINBASE -> Sell KRAKEN,307270.01,-2.0000,0.9863
47,100,ETH: Buy COINBASE -> Sell BINANCE,308947.46,9.3658,0.9863
47,150,BNB: Buy BINANCE -> Sell KRAKEN,307423.89,0.5740,0.9863
47,200,BNB: Buy BINANCE -> Sell KRAKEN,309323.34,1.0159,0.9863
48,50,ETH: Buy KRAKEN -> Sell COINBASE,308098.15,-1.0968,0.9860
48,100,BTC: Buy BINANCE -> Sell KRAKEN,309644.62,1.9154,0.9860
48,150,WAIT (Holding Capital),307281.02,-0.0100,0.9860
48,200,BNB: Buy COINBASE -> Sell KRAKEN,307954.65,-0.4547,0.9860
49,50,BNB: Buy BINANCE -> Sell COINBASE,307230.20,0.3809,0.9857
49,100,BTC: Buy COINBASE -> Sell KRAKEN,308937.82,-0.9136,0.9857
49,150,ETH: Buy BINANCE -> Sell KRAKEN,307063.81,0.2839,0.9857
49,200,BNB: Buy COINBASE -> Sell BINANCE,308335.31,-0.2611,0.9857
50,50,BTC: Buy BINANCE -> Sell KRAKEN,307613.08,0.0178,0.9854
50,100,BNB: Buy BINANCE -> Sell KRAKEN,309580.37,0.0166,0.9854
50,150,BTC: Buy KRAKEN -> Sell COINBASE,308534.86,0.5857,0.9854
50,200,BNB: Buy KRAKEN -> Sell COINBASE,310018.23,-0.8368,0.9854
51,50,ETH: Buy BINANCE -> Sell COINBASE,307896.85,-0.8624,0.9851
51,100,BNB: Buy KRAKEN -> Sell BINANCE,309682.53,-1.1517,0.9851
51,150,ETH: Buy BINANCE -> Sell KRAKEN,307849.72,1.8483,0.9851
51,200,BTC: Buy KRAKEN -> Sell BINANCE,309903.42,-0.5843,0.9851
52,50,BNB: Buy COINBASE -> Sell KRAKEN,307321.60,-0.5472,0.9848
52,100,BNB: Buy COINBASE -> Sell BINANCE,309647.64,0.4269,0.9848
52,150,ETH: Buy COINBASE -> Sell BINANCE,308068.09,-0.5547,0.9848
52,200,BTC: Buy KRAKEN -> Sell BINANCE,309744.99,0.0677,0.9848
53,50,WAIT (Holding Capital),307983.74,-0.0100,0.9845
53,100,BTC: Buy COINBASE -> Sell BINANCE,310555.82,0.2251,0.9845
